team;T.min.;ints;dur;gr_int;pos;neg
33;45;28;59;6;3;0
33;46;37;78;5;3;1
33;47;37;70;8;4;0
33;48;25;65;3;5;0
33;49;28;80;6;3;1
33;50;24;48;2;8;0
33;51;21;50;3;3;0
33;52;16;36;1;2;0
33;53;10;46;2;0;0
33;54;14;39;4;0;0
33;55;16;59;0;1;0
33;56;11;24;1;0;0
33;57;15;41;0;1;0
33;58;18;45;1;0;0
33;59;17;54;4;2;0
33;60;9;29;3;1;0
34;1;24;64;3;6;1
34;2;39;107;3;5;9
34;3;33;76;2;7;6
34;4;27;49;3;5;0
34;5;34;106;3;11;0
34;6;33;80;0;3;3
34;7;29;116;6;4;1
34;8;18;36;8;4;2
34;9;14;45;7;0;0
34;10;22;59;7;4;3
34;11;15;38;7;1;0
34;12;24;56;10;0;2
34;13;19;65;7;0;0
34;14;12;32;3;0;0
34;15;16;54;4;3;0
34;16;15;52;3;1;5
34;17;19;77;8;2;1
34;18;29;83;10;2;2
34;19;27;74;8;0;2
34;20;11;29;3;0;0
34;21;15;46;6;0;1
34;22;22;70;4;1;1
34;23;14;42;2;0;1
34;24;12;37;5;0;0
34;25;8;22;1;0;0
34;26;28;88;9;0;2
34;27;25;62;7;0;3
34;28;30;70;7;1;1
34;29;20;72;7;0;0
34;30;18;62;5;0;0
34;31;18;62;3;1;0
34;32;14;57;4;0;0
34;33;7;25;0;0;0
34;34;20;77;5;1;0
34;35;12;28;4;0;0
34;36;30;62;12;0;0
34;37;27;79;8;1;0
34;38;15;39;5;0;0
34;39;5;19;2;0;0
34;40;13;44;4;0;1
34;41;8;33;1;0;0
34;42;22;60;1;0;0
34;43;12;31;1;0;1
34;44;28;67;8;0;0
34;45;11;50;3;1;0
34;46;14;41;1;0;0
34;47;14;40;2;0;0
34;48;6;15;1;0;0
34;49;14;34;3;3;0
34;50;10;20;2;0;0
34;51;12;39;1;1;0
34;52;21;52;10;0;0
34;53;13;54;2;0;1
34;54;26;69;7;4;1
34;55;22;69;3;1;0
34;56;15;36;1;2;3
34;57;12;45;1;0;1
34;58;16;28;2;1;2
34;59;3;10;1;0;0
34;60;5;11;1;1;0
36;1;29;103;4;3;2
36;2;35;90;2;4;1
36;3;38;99;4;4;1
36;4;35;85;5;2;1
36;5;28;76;4;1;0
36;6;30;91;6;3;1
36;7;17;85;4;1;0
36;8;36;92;0;3;0
36;9;29;86;4;0;0
36;10;39;92;5;4;2
36;11;25;67;2;0;2
36;12;22;65;0;2;1
36;13;38;99;2;1;5
36;14;31;80;2;1;0
36;15;31;81;4;2;2
36;16;36;99;11;0;4
36;17;35;104;8;1;3
36;18;29;87;13;2;1
36;19;26;69;5;3;0
36;20;26;81;5;1;0
36;21;22;56;8;3;0
36;22;23;74;3;2;0
36;23;19;66;5;0;0
36;24;20;63;6;2;1
36;25;23;66;11;1;0
36;26;34;94;9;1;7
36;27;24;70;4;1;0
36;28;8;30;0;0;0
36;29;24;66;3;1;3
36;30;17;37;1;1;1
36;31;26;74;8;1;3
36;32;28;89;9;6;7
36;33;29;84;9;1;1
36;34;24;81;7;3;6
36;35;31;83;15;3;0
36;36;27;83;12;3;0
36;37;23;85;9;4;0
36;38;17;110;0;0;0
36;39;19;77;4;0;3
36;40;13;52;1;0;0
36;41;20;71;0;0;2
36;42;11;29;0;0;0
36;43;22;61;4;1;1
36;44;20;63;9;0;0
36;45;27;79;11;1;2
36;46;25;81;9;3;1
36;47;36;100;15;4;1
36;48;33;91;10;3;0
36;49;24;93;7;1;0
36;50;25;72;1;0;0
36;51;15;35;3;0;2
36;52;38;97;11;3;3
36;53;33;93;11;2;1
36;54;32;81;15;4;0
36;55;38;100;17;0;0
36;56;14;75;6;1;0
36;57;22;100;10;0;2
36;58;18;64;4;0;2
36;59;15;73;3;5;1
36;60;23;87;10;2;1
38;1;23;61;2;2;0
38;2;20;68;6;3;0
38;3;16;58;6;0;0
38;4;12;51;4;0;0
38;5;15;36;2;0;0
38;6;17;37;2;1;0
38;7;25;63;7;1;0
38;8;19;51;3;2;0
38;9;21;55;10;0;0
38;10;19;54;2;0;0
38;11;26;96;5;4;0
38;12;14;42;0;0;0
38;13;23;61;4;1;0
38;14;21;65;2;1;0
38;15;23;57;9;0;0
38;16;11;33;4;0;0
38;17;10;58;1;0;0
38;18;21;44;1;6;0
38;19;31;74;7;1;0
38;20;16;58;3;0;0
38;21;8;21;1;0;0
38;22;10;36;1;0;0
38;23;28;66;4;0;0
38;24;22;61;6;0;0
38;25;19;61;2;0;0
38;26;21;66;4;0;0
38;27;20;67;3;2;0
38;28;19;57;4;2;1
38;29;10;45;4;0;0
38;30;20;51;3;2;0
38;31;17;52;3;1;0
38;32;13;42;5;2;0
38;33;22;75;7;1;0
38;34;13;61;1;0;0
38;35;16;66;3;1;0
38;36;14;43;3;1;0
38;37;15;50;2;0;0
38;38;22;71;4;3;0
38;39;16;38;1;6;1
38;40;7;22;2;3;0
38;41;10;35;2;4;0
38;42;24;81;11;2;0
38;43;26;77;5;4;1
38;44;24;78;10;2;0
38;45;22;70;8;2;0
38;46;23;60;8;2;1
38;47;24;68;3;1;0
38;48;12;40;5;0;0
38;49;15;70;3;1;0
38;50;30;61;11;0;0
38;51;29;72;9;7;0
38;52;35;66;12;2;0
38;53;21;51;7;3;0
38;54;21;84;0;0;0
38;55;18;53;1;1;0
38;56;26;66;5;7;0
38;57;13;34;3;1;0
38;58;4;9;2;1;0
39;1;19;53;7;4;0
39;2;13;40;4;1;0
39;3;17;68;1;1;0
39;4;16;61;0;3;0
39;5;19;59;2;1;0
39;6;26;79;9;3;0
39;7;31;87;12;2;0
39;8;18;61;5;1;0
39;9;18;53;3;0;0
